개수,위도,경도
3,37.59028,126.9948
3,37.57677,127.0154
3,37.5738,127.0204
2,37.5704,126.9954
4,37.602,126.9809
3,37.5781,126.9718
2,37.57339,127.0135
2,37.57827,126.9634
3,37.57729,126.9825
2,37.57341,127.0076
3,37.6106,126.9777
3,37.61466,126.9711
2,37.57904,126.9593
3,37.57171,126.9905
3,37.58243,126.9648
3,37.57363,127.0184
2,37.57731,127.0187
3,37.57936,127.0158
2,37.61256,126.9683
2,37.58211,126.9822
2,37.58278,127.0047
2,37.57569,127.0124
3,37.59062,126.995
1,37.56936,126.9696
3,37.57815,127.0218
3,37.57974,126.97
3,37.5818,126.9992
2,37.58471,126.9803
3,37.57157,126.9798
2,37.5708,126.994
4,37.57812,126.9727
4,37.58456,126.9721
2,37.60667,126.9682
3,37.57939,126.9696
2,37.57909,127.0045
2,37.57127,126.9948
2,37.57545,127.0181
3,37.57335,127.0035
4,37.58398,126.9653
3,37.57518,127.0074
3,37.56976,126.9857
2,37.57493,127.004
3,37.5713,126.9976
3,37.603,126.9602
2,37.58956,126.9834
2,37.60623,126.9678
1,37.57676,127.0102
3,37.56981,126.9774
3,37.59026,126.9945
1,37.57731,127.0187
2,37.57679,127.0007
3,37.61655,126.9757
3,37.57286,126.9652
3,37.57453,126.9664
4,37.57653,126.9724
3,37.56934,126.9785
2,37.59185,126.9929
3,37.5751,127.0133
4,37.58876,126.9853
3,37.58754,126.9691
3,37.58484,126.9639
3,37.57329,126.9634
2,37.58891,126.9849
4,37.58888,126.9992
2,37.57242,126.9653
2,37.59121,126.99
4,37.58348,126.9647
2,37.56978,126.9654
3,37.57854,127.0011
2,37.57378,126.9839
3,37.60433,126.9847
2,37.58242,126.9623
4,37.5878,126.9652
3,37.57861,126.9685
3,37.58816,126.9983
3,37.58411,127.0026
3,37.57148,126.9626
3,37.57819,127.0226
2,37.57696,127.0177
3,37.58112,126.9694
2,37.58431,126.9647
3,37.58265,126.999
4,37.5729,126.9899
3,37.6139,126.9652
2,37.57267,126.9642
2,37.57674,127.0174
3,37.57224,127.0113
3,37.60425,126.9606
2,37.59984,126.9596
2,37.57569,127.0124
2,37.58785,126.968
2,37.57249,127.0044
4,37.5878,126.9966
3,37.59432,126.9648
3,37.58344,126.9826
