개수,위도,경도,상세
1,37.5881612 ,126.9445399 ,파출소
1,37.5836756 ,126.9361657 ,파출소
1,37.6015766 ,126.9215387 ,경찰서
1,37.6015836 ,126.9264643 ,지구대
1,37.5918104 ,126.9053669 ,지구대
1,37.6081391 ,126.9323304 ,파출소
1,37.5905279 ,126.9175364 ,파출소
1,37.6044279 ,126.9151883 ,파출소
1,37.4954676 ,127.0053395 ,경찰서
1,37.5059834 ,127.0051816 ,지구대
1,37.4875131 ,127.0289593 ,파출소
1,37.4919865 ,127.0107859 ,파출소
1,37.4845428 ,127.0378441 ,파출소
1,37.4852897 ,127.0167473 ,파출소
1,37.4718450 ,127.0271792 ,파출소
1,37.4549920 ,127.0648545 ,파출소
1,37.5616915 ,127.0363006 ,경찰서
1,37.5603055 ,127.0417660 ,지구대
1,37.5481496 ,127.0551847 ,지구대
1,37.5380443 ,127.0522756 ,지구대
1,37.5666533 ,127.0326493 ,파출소
1,37.5574251 ,127.0288558 ,파출소
1,37.5449597 ,127.0138463 ,파출소
1,37.5547323 ,127.0196132 ,파출소
1,37.5497670 ,127.0300234 ,파출소
1,37.5647586 ,127.0517402 ,파출소
1,37.5898228 ,127.0163427 ,경찰서
1,37.5972819 ,127.0123966 ,지구대
1,37.5866821 ,127.0166001 ,지구대
1,37.6106292 ,127.0192457 ,지구대
1,37.6160838 ,127.0086109 ,파출소
1,37.6045307 ,127.0106875 ,파출소
1,37.5932791 ,126.9985215 ,파출소
1,37.5019044 ,127.1271338 ,경찰서
1,37.5102514 ,127.1257318 ,지구대
1,37.5120841 ,127.0821495 ,지구대
1,37.5027107 ,127.0927721 ,지구대
1,37.4979534 ,127.1244380 ,지구대
1,37.4782023 ,127.1269954 ,지구대
1,37.4969882 ,127.1482966 ,파출소
1,37.4851827 ,127.1288810 ,파출소
1,37.5287255 ,127.1168629 ,파출소
1,37.5068859 ,127.1280993 ,파출소
1,37.5201652 ,127.1123922 ,파출소
1,37.4778753 ,127.1458547 ,파출소
1,37.4933303 ,127.0769501 ,경찰서
1,37.5055798 ,127.0414738 ,지구대
1,37.4947493 ,127.0624809 ,지구대
1,37.4923791 ,127.0833780 ,지구대
1,37.4806165 ,127.0501493 ,지구대
1,37.4891379 ,127.1047973 ,파출소
