개수,위도,경도,소재지도로명주소,소재지지번주소
1,37.55409061,126.9949287,서울특별시 중구 필동로6길 40,서울특별시 중구 필동2가 134-27
1,37.55448742,126.9952149,서울특별시 중구 필동로6길 30,서울특별시 중구 필동2가 134-2
1,37.55493793,126.9953269,서울특별시 중구 필동로6길 18,서울특별시 중구 필동2가 132-2
1,37.55582923,126.9801136,서울특별시 중구 퇴계로8길 94,서울특별시 중구 회현동1가 100-83
1,37.55582923,126.9801136,서울특별시 중구 퇴계로8길 94,서울특별시 중구 회현동1가 100-83
1,37.55582923,126.9801136,서울특별시 중구 퇴계로8길 94,서울특별시 중구 회현동1가 100-83
1,37.55582923,126.9801136,서울특별시 중구 퇴계로8길 94,서울특별시 중구 회현동1가 100-83
1,37.55882369,126.9800896,서울특별시 중구 퇴계로8길 9,서울특별시 중구 회현동1가 94-7
1,37.55592392,126.9806273,서울특별시 중구 퇴계로8길 89,서울특별시 중구 회현동1가 100-54
1,37.55595945,126.9802335,서울특별시 중구 퇴계로8길 86-3,서울특별시 중구 회현동1가 100-155
1,37.55592961,126.980154,서울특별시 중구 퇴계로8길 86-11,서울특별시 중구 회현동1가 100-159
1,37.55631126,126.9800856,서울특별시 중구 퇴계로8길 80-4,서울특별시 중구 회현동1가 100-95
1,37.55631126,126.9800856,서울특별시 중구 퇴계로8길 80-4,서울특별시 중구 회현동1가 100-95
1,37.55643501,126.9803111,서울특별시 중구 퇴계로8길 80,서울특별시 중구 회현동1가 100-239
1,37.5564922,126.9807042,서울특별시 중구 퇴계로8길 73,서울특별시 중구 회현동1가 100-48
1,37.5564922,126.9807042,서울특별시 중구 퇴계로8길 73,서울특별시 중구 회현동1가 100-48
1,37.55674175,126.9805861,서울특별시 중구 퇴계로8길 65-8,서울특별시 중구 회현동1가 100-171
1,37.55683842,126.9805524,서울특별시 중구 퇴계로8길 65-5,서울특별시 중구 회현동1가 100-164
1,37.55688461,126.9803359,서울특별시 중구 퇴계로8길 65-3,서울특별시 중구 회현동1가 100-12
1,37.55686099,126.9808007,서울특별시 중구 퇴계로8길 65-13,서울특별시 중구 회현동1가 105-2
1,37.55686099,126.9808007,서울특별시 중구 퇴계로8길 65-13,서울특별시 중구 회현동1가 105-2
1,37.55676456,126.9801342,서울특별시 중구 퇴계로8길 65,서울특별시 중구 회현동1가 100-11
1,37.55650102,126.9801141,서울특별시 중구 퇴계로8길 64,서울특별시 중구 회현동1가 100-60
1,37.55679711,126.9797471,서울특별시 중구 퇴계로8길 58,서울특별시 중구 회현동1가 100-63
1,37.55679711,126.9797471,서울특별시 중구 퇴계로8길 58,서울특별시 중구 회현동1가 100-63
1,37.556905,126.9799631,서울특별시 중구 퇴계로8길 57,서울특별시 중구 회현동1가 100-10
1,37.55688692,126.9801625,서울특별시 중구 퇴계로8길 55-8,서울특별시 중구 회현동1가 100-110
1,37.55670174,126.9794891,서울특별시 중구 퇴계로8길 54-7,서울특별시 중구 회현동1가 100-113
1,37.55674024,126.9796168,서울특별시 중구 퇴계로8길 54-5,서울특별시 중구 회현동1가 100-67
1,37.5571697,126.979862,서울특별시 중구 퇴계로8길 51,서울특별시 중구 회현동1가 100-5
1,37.55721893,126.9795912,서울특별시 중구 퇴계로8길 50,서울특별시 중구 회현동1가 100-79
1,37.55710369,126.9800625,서울특별시 중구 퇴계로8길 49-8,서울특별시 중구 회현동1가 100-6
1,37.55689519,126.9805416,서울특별시 중구 퇴계로8길 49-34,서울특별시 중구 회현동1가 100-164
1,37.55702739,126.9807146,서울특별시 중구 퇴계로8길 49-21,서울특별시 중구 회현동1가 100-122
1,37.55737928,126.9804552,서울특별시 중구 퇴계로8길 49-13,서울특별시 중구 회현동1가 100-23
1,37.55707291,126.9803085,서울특별시 중구 퇴계로8길 49-12,서울특별시 중구 회현동1가 100-32
1,37.55710492,126.9793594,서울특별시 중구 퇴계로8길 46-7,서울특별시 중구 회현동1가 153
1,37.5572545,126.9789678,서울특별시 중구 퇴계로8길 46-12,서울특별시 중구 회현동1가 161-4
1,37.55720713,126.9790446,서울특별시 중구 퇴계로8길 46-10,서울특별시 중구 회현동1가 162-2
1,37.55728611,126.9793555,서울특별시 중구 퇴계로8길 46,서울특별시 중구 회현동1가 164
1,37.55728611,126.9793555,서울특별시 중구 퇴계로8길 46,서울특별시 중구 회현동1가 164
1,37.55728611,126.9793555,서울특별시 중구 퇴계로8길 46,서울특별시 중구 회현동1가 164
1,37.55778664,126.9795323,서울특별시 중구 퇴계로8길 35,서울특별시 중구 회현동1가 99-8
1,37.55808704,126.9795466,서울특별시 중구 퇴계로8길 27,서울특별시 중구 회현동1가 99-4
1,37.55841016,126.9797129,서울특별시 중구 퇴계로8길 19,서울특별시 중구 회현동1가 97-1
1,37.55847937,126.9797673,서울특별시 중구 퇴계로8길 17-1,서울특별시 중구 회현동1가 96
1,37.55515616,126.9815775,서울특별시 중구 퇴계로8길 118,서울특별시 중구 회현동1가 147-27
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55564872,126.9814925,서울특별시 중구 퇴계로8길 101,서울특별시 중구 회현동1가 147-23
1,37.55792623,126.9781407,서울특별시 중구 퇴계로6길 6,서울특별시 중구 남창동 167-4
1,37.55628749,126.9796547,서울특별시 중구 퇴계로6길 51,서울특별시 중구 남창동 203-10
1,37.55799141,126.9783606,서울특별시 중구 퇴계로6길 5,서울특별시 중구 회현동1가 180-2
1,37.55799141,126.9783606,서울특별시 중구 퇴계로6길 5,서울특별시 중구 회현동1가 180-2
1,37.55643326,126.9795633,서울특별시 중구 퇴계로6길 48,서울특별시 중구 남창동 203-5
1,37.55625186,126.9793932,서울특별시 중구 퇴계로6길 46-5,서울특별시 중구 남창동 203-9
1,37.55670515,126.9789005,서울특별시 중구 퇴계로6길 36,서울특별시 중구 남창동 202
1,37.55670515,126.9789005,서울특별시 중구 퇴계로6길 36,서울특별시 중구 남창동 202
1,37.55887228,126.9791671,서울특별시 중구 퇴계로6길 3-29,서울특별시 중구 회현동1가 194-78
1,37.55858578,126.9792475,서울특별시 중구 퇴계로6길 3-28,서울특별시 중구 회현동1가 181-6
1,37.55832,126.9793677,서울특별시 중구 퇴계로6길 3-12,서울특별시 중구 회현동1가 181-8
1,37.55809394,126.978823,서울특별시 중구 퇴계로6길 3-10,서울특별시 중구 회현동1가 165-1
1,37.55709972,126.9790141,서울특별시 중구 퇴계로6길 29,서울특별시 중구 회현동1가 158-2
1,37.55709972,126.9790141,서울특별시 중구 퇴계로6길 29,서울특별시 중구 회현동1가 158-2
